"date","trend","HP","BP","inf","SR","call money","trend1","trend_1","trend_2","trend_3","trend_4","HP1","HP_1","HP_2","HP_3","HP_4","BP1","BP_1","BP_2","BP_3","BP_4","inf1","inf_1","inf_2","inf_3","inf_4","SR_1","SR_2","SR_3","SR_4","cm_1","cm_2","cm_3","cm_4"
1961.00,0.00052559,0.0012531,0.035609,4.166667,3.5,3.597,-0.01625,-0.016218,-0.031056,-0.048675,-0.061017,-0.0037457,0.0039996,0.0015424,-0.0067823,-0.018767,0.013898,0.025201,0.017071,0.0066193,0.0018256,2.749141,0,0,2.797203,,4,5,5,4,4.91,5.053,4.307,3.987
1961.25,-0.01625,-0.0037457,0.013898,2.749141,3,2.813,-0.017544,0.00052559,-0.016218,-0.031056,-0.048675,-0.0076465,0.0012531,0.0039996,0.0015424,-0.0067823,0.0076798,0.035609,0.025201,0.017071,0.0066193,2.730375,4.166667,0,0,2.797203,3.5,4,5,5,3.597,4.91,5.053,4.307
1961.50,-0.017544,-0.0076465,0.0076798,2.730375,3,2.65,-0.023299,-0.01625,0.00052559,-0.016218,-0.031056,-0.0087494,-0.0037457,0.0012531,0.0039996,0.0015424,-0.0025785,0.013898,0.035609,0.025201,0.017071,1.355932,2.749141,4.166667,0,0,3,3.5,4,5,2.813,3.597,4.91,5.053
1961.75,-0.023299,-0.0087494,-0.0025785,1.355932,3,2.667,-0.0078689,-0.017544,-0.01625,0.00052559,-0.016218,-0.0076137,-0.0076465,-0.0037457,0.0012531,0.0039996,0.0087172,0.0076798,0.013898,0.035609,0.025201,6.756757,2.730375,2.749141,4.166667,0,3,3,3.5,4,2.65,2.813,3.597,4.91
1962.00,-0.0078689,-0.0076137,0.0087172,6.756757,3,2.247,-0.01364,-0.023299,-0.017544,-0.01625,0.00052559,-0.0067749,-0.0087494,-0.0076465,-0.0037457,0.0012531,-0.00071794,-0.0025785,0.0076798,0.013898,0.035609,2.657807,1.355932,2.730375,2.749141,4.166667,3,3,3,3.5,2.667,2.65,2.813,3.597
1962.25,-0.01364,-0.0067749,-0.00071794,2.657807,3,2.767,0.0086452,-0.0078689,-0.023299,-0.017544,-0.01625,-0.007521,-0.0076137,-0.0087494,-0.0076465,-0.0037457,0.018064,0.0087172,-0.0025785,0.0076798,0.013898,-1.32013,6.756757,1.355932,2.730375,2.749141,3,3,3,3,2.247,2.667,2.65,2.813
1962.50,0.0086452,-0.007521,0.018064,-1.32013,3,2.847,-0.015016,-0.01364,-0.0078689,-0.023299,-0.017544,-0.01027,-0.0067749,-0.0076137,-0.0087494,-0.0076465,-0.0084761,-0.00071794,0.0087172,-0.0025785,0.0076798,2.649007,2.657807,6.756757,1.355932,2.730375,3,3,3,3,2.767,2.247,2.667,2.65
1962.75,-0.015016,-0.01027,-0.0084761,2.649007,3,2.787,-0.031289,0.0086452,-0.01364,-0.0078689,-0.023299,-0.012724,-0.007521,-0.0067749,-0.0076137,-0.0087494,-0.027811,0.018064,-0.00071794,0.0087172,-0.0025785,9.210526,-1.32013,2.657807,6.756757,1.355932,3,3,3,3,2.847,2.767,2.247,2.667
1963.00,-0.031289,-0.012724,-0.027811,9.210526,3,2.963,-0.017754,-0.015016,0.0086452,-0.01364,-0.0078689,-0.011752,-0.01027,-0.007521,-0.0067749,-0.0076137,-0.016493,-0.0084761,0.018064,-0.00071794,0.0087172,0,2.649007,-1.32013,2.657807,6.756757,3,3,3,3,2.787,2.847,2.767,2.247
1963.25,-0.017754,-0.011752,-0.016493,0,3,3.29,-0.0004504,-0.031289,-0.015016,0.0086452,-0.01364,-0.0057011,-0.012724,-0.01027,-0.007521,-0.0067749,-0.0012794,-0.027811,-0.0084761,0.018064,-0.00071794,-1.28617,9.210526,2.649007,-1.32013,2.657807,3,3,3,3,2.963,2.787,2.847,2.767
1963.50,-0.0004504,-0.0057011,-0.0012794,-1.28617,3,2.9,-0.0067918,-0.017754,-0.031289,-0.015016,0.0086452,0.0055729,-0.011752,-0.012724,-0.01027,-0.007521,-0.0096562,-0.016493,-0.027811,-0.0084761,0.018064,5.16129,0,9.210526,2.649007,-1.32013,3,3,3,3,3.29,2.963,2.787,2.847
1963.75,-0.0067918,0.0055729,-0.0096562,5.16129,3,2.83,0.021864,-0.0004504,-0.017754,-0.031289,-0.015016,0.019864,-0.0057011,-0.011752,-0.012724,-0.01027,0.017137,-0.0012794,-0.016493,-0.027811,-0.0084761,5.095541,-1.28617,0,9.210526,2.649007,3,3,3,3,2.9,3.29,2.963,2.787
1964.00,0.021864,0.019864,0.017137,5.095541,3,2.923,0.014972,-0.0067918,-0.0004504,-0.017754,-0.031289,0.034549,0.0055729,-0.0057011,-0.011752,-0.012724,0.0088238,-0.0096562,-0.0012794,-0.016493,-0.027811,0,5.16129,-1.28617,0,9.210526,3,3,3,3,2.83,2.9,3.29,2.963
1964.25,0.014972,0.034549,0.0088238,0,3,3.34,0.031167,0.021864,-0.0067918,-0.0004504,-0.017754,0.044715,0.019864,0.0055729,-0.0057011,-0.011752,0.02347,0.017137,-0.0096562,-0.0012794,-0.016493,0,5.095541,5.16129,-1.28617,0,3,3,3,3,2.923,2.83,2.9,3.29
1964.50,0.031167,0.044715,0.02347,0,3,3.507,0.035891,0.014972,0.021864,-0.0067918,-0.0004504,0.049754,0.034549,0.019864,0.0055729,-0.0057011,0.027004,0.0088238,0.017137,-0.0096562,-0.0012794,3.773585,0,5.095541,5.16129,-1.28617,3,3,3,3,3.34,2.923,2.83,2.9
